x,y,z
-49.814535,135.229572,24.848931
-49.235699,134.125425,24.973515
-48.658214,133.018445,25.098288
-48.082181,131.908666,25.223242
-47.507696,130.796120,25.348370
-46.934858,129.680839,25.473666
-46.363764,128.562856,25.599123
-45.794513,127.442205,25.724733
-45.227201,126.318918,25.850492
-44.661928,125.193027,25.976390
-44.098791,124.064565,26.102424
-43.537888,122.933565,26.228584
-42.979318,121.800060,26.354866
-42.423176,120.664082,26.481263
-41.869563,119.525664,26.607768
-41.318575,118.384839,26.734375
-40.770311,117.241639,26.861078
-40.224869,116.096098,26.987870
-39.682346,114.948247,27.114746
-39.142840,113.798120,27.241699
-38.606450,112.645749,27.368724
-38.073273,111.491166,27.495814
-37.543407,110.334406,27.622964
-37.016950,109.175500,27.750167
-36.494000,108.014481,27.877418
-35.974655,106.851382,28.004711
-35.459012,105.686235,28.132042
-34.947171,104.519073,28.259403
-34.439228,103.349929,28.386790
-33.935281,102.178836,28.514197
-33.435429,101.005826,28.641619
-32.939770,99.830932,28.769051
-32.448401,98.654187,28.896488
-31.961419,97.475623,29.023924
-31.478920,96.295275,29.151355
-31.000916,95.113190,29.278778
-30.527353,93.929434,29.406190
-30.058177,92.744069,29.533589
-29.593330,91.557160,29.660973
-29.132757,90.368769,29.788340
-28.676403,89.178961,29.915688
-28.224210,87.987799,30.179736
-27.776125,86.795347,30.711675
-27.332090,85.601669,31.243501
-26.892049,84.406828,31.775204
-26.455948,83.210887,32.306771
-26.023729,82.013911,32.838192
-25.595338,80.815964,33.369454
-25.170718,79.617108,33.900546
-24.749814,78.417408,34.431454
-24.332569,77.216927,34.962166
-23.918928,76.015728,35.492669
-23.508835,74.813877,36.022950
-23.102234,73.611435,36.552996
-22.699069,72.408467,37.082791
-22.299285,71.205037,37.612323
-21.902825,70.001208,38.141577
-21.509633,68.797044,38.670539
-21.119654,67.592608,39.199194
-20.732833,66.387965,39.727527
-20.349112,65.183177,40.255523
-19.968436,63.978309,40.783166
-19.590750,62.773424,41.310441
-19.215997,61.568586,41.837333
-18.844122,60.363858,42.363825
-18.475068,59.159305,42.889901
-18.108781,57.954989,43.415544
-17.745203,56.750975,43.940739
-17.384280,55.547326,44.465469
-17.025954,54.344106,44.989717
-16.670172,53.141378,45.513465
-16.316876,51.939206,46.036697
-15.966010,50.737654,46.559395
-15.617520,49.536786,47.081541
-15.271348,48.336665,47.603120
-14.927440,47.137354,48.124111
-14.585739,45.938918,48.644498
-14.246189,44.741420,49.164262
-13.908735,43.544924,49.683386
-13.573321,42.349494,50.000000
-13.239891,41.155192,50.000000
-12.908388,39.962083,50.000000
-12.578758,38.770231,50.000000
-12.250944,37.579699,50.000000
-11.924891,36.390550,50.000000
-11.600542,35.202849,50.000000
-11.277842,34.016659,50.000000
-10.956734,32.832044,50.000000
-10.637164,31.649068,50.000000
-10.319075,30.467793,50.000000
-10.002411,29.288284,50.000000
-9.687116,28.110605,50.000000
-9.373136,26.934819,50.000000
-9.060412,25.760989,50.000000
-8.748891,24.589180,50.000000
-8.438516,23.419455,50.000000
-8.129230,22.251877,50.000000
-7.820979,21.086511,50.000000
-7.513707,19.923421,50.000000
-7.207357,18.762668,50.000000
-6.901874,17.604319,50.000000
-6.597201,16.448435,50.000000
-6.293284,15.295081,50.000000
-5.990066,14.144321,50.000000
-5.687491,12.996217,50.000000
-5.385503,11.850834,50.000000
-5.084047,10.708236,50.000000
-4.783066,9.568486,50.000000
-4.482506,8.431647,50.000000
-4.182309,7.297784,50.000000
-3.882421,6.166960,50.000000
-3.582785,5.039238,50.000000
-3.283345,3.914683,50.000000
-2.984046,2.793358,50.000000
-2.684831,1.675327,50.000000
-2.385645,0.560653,50.000000
-2.086433,-0.550600,50.000000
-1.787137,-1.658369,50.000000
-1.487703,-2.762589,50.000000
-1.188074,-3.863197,50.000000
-0.888194,-4.960129,50.000000
-0.588008,-6.053322,50.000000
-0.287461,-7.142712,50.000000
0.013505,-8.228235,50.000000
0.314945,-9.309828,50.000000
0.616915,-10.387426,50.000000
0.919470,-11.460968,50.000000
1.222667,-12.530388,50.000000
1.526561,-13.595622,50.000000
1.831208,-14.656609,50.000000
2.136665,-15.713282,50.000000
